Geo Point;Geo Shape;id;adresse;lib_off;mot_dir;sens_circulation;commune;code_insee;debut_comptage
43.623162542475754, 1.467793168547256;"{""coordinates"": [[1.467793168547256, 43.623162542475754]], ""type"": ""MultiPoint""}";ETP56_DOUMERGUE_202002;24 avenue Doumergue;AV DU PRESIDENT DOUMERGUE;DOUMERGUE (AV DU PRESIDEN;double sens;Toulouse;31555;2020-02-11
43.58527309526229, 1.4616324629696547;"{""coordinates"": [[1.461632462969655, 43.58527309526229]], ""type"": ""MultiPoint""}";ETP66_MEDITERANNEE_202002;19 boulevard de la Méditerranée;BD DE LA MEDITERRANEE;MEDITERRANEE (BD DE LA ME;double sens;Toulouse;31555;2020-02-14
43.56391092417391, 1.439625721941747;"{""coordinates"": [[1.439625721941747, 43.56391092417391]], ""type"": ""MultiPoint""}";ETP70_ETROITS_202003;67 chemin des Etroits;CHE DES ETROITS;ETROITS (CHE DES ETROITS);double sens;Toulouse;31555;2020-03-12
43.58288357362434, 1.4147185012180052;"{""coordinates"": [[1.414718501218005, 43.58288357362434]], ""type"": ""MultiPoint""}";ETP6_DESBALS_202002;170 rue Henri Desbals;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBAL;double sens;Toulouse;31555;2020-02-05
43.6006478957301, 1.446534330250473;"{""coordinates"": [[1.446534330250473, 43.6006478957301]], ""type"": ""MultiPoint""}";ETP9_METZ_202002;34 rue de Metz;RUE DE METZ;METZ (RUE DE METZ);sens unique;Toulouse;31555;2020-02-06
43.60209283082217, 1.4278279701812804;"{""coordinates"": [[1.42782797018128, 43.60209283082217]], ""type"": ""MultiPoint""}";ETP71_FITTE_202002;107 allées Charles de Fitte;ALLEES CHARLES DE FITTE;FITTE (ALL CHARLES DE FIT;double sens;Toulouse;31555;2020-02-05
43.60053266125059, 1.413627665609052;"{""coordinates"": [[1.413627665609052, 43.60053266125059]], ""type"": ""MultiPoint""}";ETP25_BRETAGNE_202003;162 avenue de Grande Bretagne;AV DE GRANDE BRETAGNE;BRETAGNE (AV DE GRANDE BR;double sens;Toulouse;31555;2020-03-01
43.63182656423558, 1.4320953693301628;"{""coordinates"": [[1.432095369330163, 43.63182656423558]], ""type"": ""MultiPoint""}";ETP32_UNIS_202002;88 avenue des Etats Unis;AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);double sens;Toulouse;31555;2020-02-09
43.65929723344289, 1.4348768100109093;"{""coordinates"": [[1.434876810010909, 43.65929723344289]], ""type"": ""MultiPoint""}";ETP38_BENITE_202002;69 chemin de Croix Bénite;CHE DE CROIX BENITE;BENITE (CHE DE CROIX BENI;double sens;Toulouse;31555;2020-02-10
43.58407474523652, 1.3921979774107958;"{""coordinates"": [[1.392197977410796, 43.58407474523652]], ""type"": ""MultiPoint""}";ETP43_BAYLET_202002;Face au 60 rue Jean Baylet;AV JEAN BAYLET;BAYLET (AV JEAN BAYLET);double sens;Toulouse;31555;2020-02-11
43.55137787654048, 1.378659701898605;"{""coordinates"": [[1.378659701898605, 43.55137787654048]], ""type"": ""MultiPoint""}";ETP51_TUCAUT_202001;127 Chemin de Tucaud;CHE DE TUCAUT;TUCAUT (CHE DE TUCAUT);double sens;Toulouse;31555;2020-01-23
43.62848027274349, 1.4708587344538684;"{""coordinates"": [[1.470858734453868, 43.62848027274349]], ""type"": ""MultiPoint""}";ETP60_MICHOUN_202002;174 Chemin Michoun;CHE MICHOUN;MICHOUN (CHE MICHOUN);double sens;Toulouse;31555;2020-02-17
43.569145626408485, 1.5138076819380024;"{""coordinates"": [[1.513807681938002, 43.569145626408485]], ""type"": ""MultiPoint""}";ETP67_CAYRAS_202003;46 chemin de Cayras;CHE DE CAYRAS;CAYRAS (CHE DE CAYRAS);double sens;Toulouse;31555;2020-03-12
